college,pla,age,race,gender,income,for-profit to for-profit,for-profit to private non-profit,for-profit to 2-year public,for-profit to 4-year public,for-profit to non-transfer,private non-profit to for-profit,private non-profit to private non-profit,private non-profit to 2-year public,private non-profit to 4-year public,private non-profit to non-transfer,2-year public to for-profit,2-year public to private non-profit,2-year public to 2-year public,2-year public to 4-year public,2-year public to non-transfer,4-year public to for-profit,4-year public to private non-profit,4-year public to 2-year public,4-year public to 4-year public,4-year public to non-transfer,for-profit to non-completers,private non-profit to non-completers,2-year public to non-completers,4-year public to non-completers,non-transfer to non-completers,for-profit to graduates,private non-profit to graduates,2-year public to graduates,4-year public to graduates,non-transfer to graduates,cost,time
all,none,all,all,all,all,0.0051,0.0030,0.0030,0.0030,0.0089,0.0136,0.0181,0.0271,0.0278,0.0805,0.0096,0.0385,0.0783,0.1182,0.1068,0.0212,0.0404,0.1112,0.1021,0.1836,0.0254,0.0523,0.1150,0.1337,0.2389,0.0241,0.0477,0.1047,0.1173,0.1454,59451.8000,4.3000
all,none,all,Black,all,all,0.0112,0.0065,0.0065,0.0065,0.0195,0.0133,0.0177,0.0266,0.0272,0.0790,0.0102,0.0406,0.0827,0.1248,0.1128,0.0192,0.0366,0.1006,0.0924,0.1662,0.0329,0.0616,0.1308,0.1538,0.2628,0.0210,0.0399,0.0857,0.0971,0.1185,59451.8000,4.3000
all,none,all,Hispanic,all,all,0.0043,0.0025,0.0025,0.0025,0.0075,0.0083,0.0111,0.0166,0.0170,0.0493,0.0122,0.0489,0.0995,0.1502,0.1358,0.0200,0.0381,0.1047,0.0961,0.1729,0.0266,0.0605,0.1340,0.1620,0.2638,0.0183,0.0400,0.0893,0.1038,0.1064,59451.8000,4.3000
all,none,all,White,all,all,0.0041,0.0024,0.0024,0.0024,0.0072,0.0159,0.0212,0.0318,0.0325,0.0944,0.0086,0.0345,0.0703,0.1060,0.0959,0.0218,0.0415,0.1141,0.1047,0.1883,0.0183,0.0373,0.0824,0.0948,0.1939,0.0322,0.0623,0.1362,0.1509,0.1973,59451.8000,4.3000
all,none,all,all,female,all,0.0051,0.0030,0.0030,0.0030,0.0089,0.0136,0.0181,0.0271,0.0278,0.0805,0.0096,0.0385,0.0783,0.1182,0.1068,0.0212,0.0404,0.1112,0.1021,0.1836,0.0239,0.0493,0.1084,0.1262,0.2308,0.0256,0.0507,0.1113,0.1248,0.1539,59451.8000,4.3000
all,none,all,Black,female,all,0.0112,0.0065,0.0065,0.0065,0.0195,0.0133,0.0177,0.0266,0.0272,0.0790,0.0102,0.0406,0.0827,0.1248,0.1128,0.0192,0.0366,0.1006,0.0924,0.1662,0.0313,0.0585,0.1243,0.1463,0.2548,0.0226,0.0430,0.0922,0.1046,0.1267,59451.8000,4.3000
all,none,all,Hispanic,female,all,0.0043,0.0025,0.0025,0.0025,0.0075,0.0083,0.0111,0.0166,0.0170,0.0493,0.0122,0.0489,0.0995,0.1502,0.1358,0.0200,0.0381,0.1047,0.0961,0.1729,0.0252,0.0575,0.1273,0.1540,0.2569,0.0196,0.0430,0.0961,0.1118,0.1137,59451.8000,4.3000
all,none,all,White,female,all,0.0041,0.0024,0.0024,0.0024,0.0072,0.0159,0.0212,0.0318,0.0325,0.0944,0.0086,0.0345,0.0703,0.1060,0.0959,0.0218,0.0415,0.1141,0.1047,0.1883,0.0168,0.0343,0.0758,0.0874,0.1852,0.0337,0.0653,0.1428,0.1582,0.2062,59451.8000,4.3000
all,none,all,all,male,all,0.0051,0.0030,0.0030,0.0030,0.0089,0.0136,0.0181,0.0271,0.0278,0.0805,0.0096,0.0385,0.0783,0.1182,0.1068,0.0212,0.0404,0.1112,0.1021,0.1836,0.0269,0.0553,0.1215,0.1412,0.2471,0.0226,0.0447,0.0981,0.1098,0.1369,59451.8000,4.3000
all,none,all,Black,male,all,0.0112,0.0065,0.0065,0.0065,0.0195,0.0133,0.0177,0.0266,0.0272,0.0790,0.0102,0.0406,0.0827,0.1248,0.1128,0.0192,0.0366,0.1006,0.0924,0.1662,0.0345,0.0646,0.1373,0.1614,0.2707,0.0193,0.0369,0.0792,0.0895,0.1102,59451.8000,4.3000
all,none,all,Hispanic,male,all,0.0043,0.0025,0.0025,0.0025,0.0075,0.0083,0.0111,0.0166,0.0170,0.0493,0.0122,0.0489,0.0995,0.1502,0.1358,0.0200,0.0381,0.1047,0.0961,0.1729,0.0279,0.0636,0.1407,0.1700,0.2707,0.0169,0.0370,0.0826,0.0959,0.0991,59451.8000,4.3000
all,none,all,White,male,all,0.0041,0.0024,0.0024,0.0024,0.0072,0.0159,0.0212,0.0318,0.0325,0.0944,0.0086,0.0345,0.0703,0.1060,0.0959,0.0218,0.0415,0.1141,0.1047,0.1883,0.0198,0.0403,0.0889,0.1022,0.2026,0.0307,0.0593,0.1296,0.1435,0.1883,59451.8000,4.3000
all,none,all,all,all,low income,0.0074,0.0043,0.0043,0.0043,0.0128,0.0104,0.0139,0.0208,0.0213,0.0618,0.0119,0.0474,0.0966,0.1457,0.1317,0.0188,0.0358,0.0983,0.0902,0.1623,0.0291,0.0614,0.1327,0.1603,0.2647,0.0193,0.0400,0.0873,0.1013,0.1086,59451.8000,4.3000
all,none,all,Black,all,low income,0.0157,0.0092,0.0092,0.0092,0.0275,0.0100,0.0133,0.0200,0.0204,0.0593,0.0123,0.0490,0.0997,0.1504,0.1360,0.0166,0.0316,0.0870,0.0799,0.1437,0.0385,0.0713,0.1480,0.1804,0.2856,0.0161,0.0318,0.0680,0.0796,0.0845,59451.8000,4.3000
all,none,all,Hispanic,all,low income,0.0060,0.0035,0.0035,0.0035,0.0105,0.0061,0.0082,0.0123,0.0126,0.0364,0.0145,0.0580,0.1181,0.1783,0.1611,0.0170,0.0324,0.0891,0.0818,0.1471,0.0296,0.0697,0.1514,0.1899,0.2842,0.0140,0.0324,0.0716,0.0862,0.0755,59451.8000,4.3000
all,none,all,White,all,low income,0.0060,0.0035,0.0035,0.0035,0.0105,0.0124,0.0166,0.0249,0.0255,0.0738,0.0109,0.0434,0.0883,0.1332,0.1204,0.0196,0.0374,0.1027,0.0943,0.1696,0.0220,0.0461,0.1002,0.1196,0.2257,0.0269,0.0547,0.1192,0.1369,0.1546,59451.8000,4.3000
all,none,all,all,female,low income,0.0074,0.0043,0.0043,0.0043,0.0128,0.0104,0.0139,0.0208,0.0213,0.0618,0.0119,0.0474,0.0966,0.1457,0.1317,0.0188,0.0358,0.0983,0.0902,0.1623,0.0277,0.0584,0.1261,0.1524,0.2576,0.0207,0.0430,0.0939,0.1092,0.1161,59451.8000,4.3000
all,none,all,Black,female,low income,0.0157,0.0092,0.0092,0.0092,0.0275,0.0100,0.0133,0.0200,0.0204,0.0593,0.0123,0.0490,0.0997,0.1504,0.1360,0.0166,0.0316,0.0870,0.0799,0.1437,0.0369,0.0682,0.1415,0.1726,0.2787,0.0178,0.0349,0.0744,0.0874,0.0918,59451.8000,4.3000
all,none,all,Hispanic,female,low income,0.0060,0.0035,0.0035,0.0035,0.0105,0.0061,0.0082,0.0123,0.0126,0.0364,0.0145,0.0580,0.1181,0.1783,0.1611,0.0170,0.0324,0.0891,0.0818,0.1471,0.0283,0.0667,0.1447,0.1816,0.2783,0.0153,0.0355,0.0783,0.0945,0.0818,59451.8000,4.3000
all,none,all,White,female,low income,0.0060,0.0035,0.0035,0.0035,0.0105,0.0124,0.0166,0.0249,0.0255,0.0738,0.0109,0.0434,0.0883,0.1332,0.1204,0.0196,0.0374,0.1027,0.0943,0.1696,0.0205,0.0431,0.0937,0.1119,0.2181,0.0284,0.0577,0.1258,0.1446,0.1625,59451.8000,4.3000
all,none,all,all,male,low income,0.0074,0.0043,0.0043,0.0043,0.0128,0.0104,0.0139,0.0208,0.0213,0.0618,0.0119,0.0474,0.0966,0.1457,0.1317,0.0188,0.0358,0.0983,0.0902,0.1623,0.0306,0.0644,0.1393,0.1681,0.2718,0.0178,0.0369,0.0807,0.0935,0.1011,59451.8000,4.3000
